Term,Description,Tags,Example,Image,Source
Field Level Authorization,"Permissions in GraphQL can be specified at the query level, object level, or field level. ","authorization,schema,non-spec","type Post @model @auth(rules: [
    { allow: private, operations: [read] },
    { allow: groups, groups: [""admin""] }.
    { allow: owner, ownerField: ""author"" }]
]) {
    id: ID!
    title: String!
    author: String!
}
",Field Level Authorization (https://v5.airtableusercontent.com/v1/21/21/1696392000000/dLINWUTvM8jNxhTvjmSfUQ/PUzaQRVgGnqUPkPSK95MYoMXnMYXACnjupDTzahaUBNjQV-MWjxAy-Oc-9JqICJQ8cvljsowg0Co8KfHxEXh0IU4ff4jqiN9Rnt9MzN2HNoRqbii3oUdWxzx3zPCG5lR/D2pCgFPSQ3IdjT3J9hqxDLLLkW9qrO3_OYh70RmciwY),https://graphql.org/learn/authorization/
Query Operation,"A query is a read-only operation. It enables the user to request specific fields from objects and receive only those fields, avoiding over- or under-fetching.","operation,spec","type Query {
    users: [User]
    user(id: ID!): User
}",Query Operation (https://v5.airtableusercontent.com/v1/21/21/1696392000000/3JrC5cDJvEE6dZ0dWBdZhw/kkmy1CqpZVpR5S6QTdGy6-36toOLx07SD5n9BejNUftYfmAvNFmzAmSHxEwWbg-NBn7LuHJXj_7RRJF1erk0FjWDBmtKv2PbklipEKsp-c0/Ftw4hbGdrFK10YmTHTutxM9020zvpUeoLyistAD9k4A),
Mutation Operation,"A mutation is a write operation followed by a fetch. It enables the user to mutate (add, update, or delete) specified fields and then query the modified value on the object returned. ","operation,spec","type User {
    id: ID!
    name: String!
    email: String!
}

type Mutation {
    createUser(name: String!, email: String!)User!
    updateUser(id: ID!, name: String!, email: String!)User!
    deleteUser(id: ID!)Boolean!
",Mutation Operation (https://v5.airtableusercontent.com/v1/21/21/1696392000000/_HNqMigaxYlAmiesjMTJAA/5F1DWfhyoZ92PxxyU6HUuBD2u4mkDDpQdgMK9Aojcf9lwCJLJEDw-LxNWH4XdZhJxrE8P43psyHk79VGSIcJ7LBKcBhL3aYUxT-Gpx1_Jz0/v7GsZ9n64lGGyDtSG7MhJqadwN5t_t9RJEA_vnoFPuk),
Subscription Operation,"Subscriptions are a feature in the GraphQL specification that allows clients to subscribe to events and receive real-time updates from the server. They are a way for clients to receive a stream of data pushed from the server as new data becomes available.

","operation,spec","type Message {
    id: ID!
    text: String!
    createdAt: Date!
}

type Subcription {
    newMessage: Message!
}

subscription {
    newMessage {
        id
        text
        createdAt
    }
}
",Subscription Operation (https://v5.airtableusercontent.com/v1/21/21/1696392000000/0pCOc0CNY9u6dxvgppCTeA/ssuW6kGixTBmETDcTPOuZ_DJq7Qk7HzifGvJb0bfPrdGN5sGo2BzJbOhlVGMzm-L5mAPe4eYFyQfAT-1wl6OCEfnJsOfWE7if_IHI6Hy1i6jN0LPAhsaAHlmxY48XoUL/Reyy1uo9ec_cdfxX4-7aKeTTo9l2qbIlBaQLcZN6Dck),https://hackmd.io/VolsyxcLSOGDCjyb1BkZog?view
Schema,A GraphQL schema is a list of object types that define all of the data available to clients of the API.,"schema,spec","schema {
  query: Query
  mutation: Mutation
  subscription: Subscription
}
",Schema (https://v5.airtableusercontent.com/v1/21/21/1696392000000/x3q_odwA8CSwa2CQa59xyQ/FhDyIk6fQYonO_lcamRnJ_1o_myID4dmJRk0EoNOFd--g1DXIa-GhOZmdqSxksyldhRYGYqUoTMshen8zvEkBGb_78P4scVbBd71NNgRzyc/toSUweganjpGnyLPIGhrbhsKVYmpy_NRRbeM4KlaFfQ),
Resolver,A function that returns a value for a field with types of a GraphQL schema. Each field in a GraphQL schema has a corresponding resolver to return the value of that field.,"spec,execution-engine","const resolvers = {
    Query: {
       post: (parent, args, context, info)=> {
          const {id} = args;
          return posts.find(post => post.id === id);
       }
    }
}; ",Resolver (https://v5.airtableusercontent.com/v1/21/21/1696392000000/PW4Xl4N5wEB0IzDBONhbtA/WrKw_N6JuMP7xXtNGrFPqU5fYmlo6b5fF4N1WaPImLNVTiebTLdAfeTVVUIXwfBB3BmMZMrPHM4WVYdTwgYpZvY3NR6y9jzxKOAJvEgmGso/MoYZXqrTWczlWxbXQFJL3v6IWpM-5SV0hn2HVVVP-oY),
Non-null Types,Non-null types represent a value that cannot be null. Fields that are nonnull or where null is not an acceptable response are identified with an exclamation mark.,"nonnull,spec","Valid uses of the ""!"" to indicate that a field or list can't be null applied to fields and lists.

String! - returns a string that can't be null
[Words] - returns a list and can return a null list or null members.
[Words!] - returns a list that can be null but its members can't be
[Words]!- returns a list that can't be null but its members can return null
[Words!]!- returns a list that can't be null and can't have null members",Non-Null Types (https://v5.airtableusercontent.com/v1/21/21/1696392000000/YghoD3tKdlL_UxOEC3aCDg/hOU_nB8UTeksD-92Gx23NNqlKjZVo6e9ZJLRyFs8al_2__KFum1tuO70OUz1X5CJ_02RKTGYtsZdp6tqu_kXUf0LGx19bfXuFiPtCQn2Wlc/cTKtsz5AZWfI5Bg-HDyVqIKbWiuWgkuq3AR64_wtj1w),
Types,"Types describe the objects that are part of a GraphQL schema. The GraphQL specification defines eight types: 

1. Scalar Types
2. Object Types
3. Enum Types
4. Interface Types
5. Union Types
6. Input Object Types
7. List Types
8. Non-null Types
","type,spec","type User {
    id: ID!
    name: String!
    email: String
}",Types (https://v5.airtableusercontent.com/v1/21/21/1696392000000/MHgwEN-1ZiolDn2Vi2AhwQ/ZJ75R2S1BtettV9CyPmIUgiYCbyZLLLJGdLsfKjxNteLN0T4UT7CaZf1oRrl-tNWpVt51mCYHyJcB_ngZ8qDebbi-PvvnqwO22FXKODmNGU/-Xc4kicxGU8aNgT3_rwRpWKappmQQwIyyouO2aUv1MI),
Union Types,A union is a type made up of a union of two or more object types. ,"type,spec","union Booking = Hotel | Flight | Train
The Booking type is a union of types Hotel and Flight which implies that a query on the type Booking can return Hotel or Flight or Train details.",Union Types (https://v5.airtableusercontent.com/v1/21/21/1696392000000/iJ1amoK2aCLBIU2mQKCDsA/a9AHQ_3vuVp07QWkk78Al7nfZGLK8sncACtjlYKwhh1YMgcxK_v6XGOBMYj3teJc6kQQpjt_j_TXLwvaJVKcbYytYw4qFdC7sW5JItOjiZI/MXPECJawQ-lli1Hr3Zx9nnyVm5gw9Q55KkHPG-WFLXg),
Interface Types,Interfaces in GraphQL represent a list of fields that must be defined by the object(s) that implement it.,"type,spec","Error can be represented as an interface and implemented by different types of error objects like RateLimitError, NotFoundError etc.
interface Error {
	code: String!
}
This ensures that each error type will have a code to describe it.",Interface Types (https://v5.airtableusercontent.com/v1/21/21/1696392000000/ypgiNiqoUAoqPOnE6u_OmA/dQCm-IvIyMaZwYJbTzpo_1DezR8LjXfJkviPvV89Huy8qPRzm_SNu098EpFe-RdrbreQUGe_dUcxNZg5_MRd3GVGdi8873Ch3dPc3lI4GyY/448ah2JsgoMElEU-CknlcCtDifUKypU5WfHX4yi9YvA),
